year,articles,total_tokens,opportunity_score,threat_score,competition_score,cooperation_score,positive_framing_score,negative_framing_score,net_framing_score,rivalry_score,engagement_score,rivalry_to_engagement_ratio,economic_score,security_score,technology_score,conflict_score,human_rights_score,securitization_index,conflict_to_engagement_ratio,opportunity_raw,threat_raw,competition_raw,cooperation_raw,economic_raw,security_raw,technology_raw,engagement_raw,conflict_raw,human_rights_raw
1990,11,7128,11.035758837735985,3.583232563847482,0.8703204244964968,6.844604932291289,17.880363770027273,4.453552988343978,13.426810781683294,4.453552988343978,17.880363770027273,0.13159297043241522,25.36485820965982,3.8501531175486123,0.0,4.336288762727609,10.0185067089513,0.11501377410468319,0.12396694214876032,30,13,5,13,64,11,0,21,10,11
1991,10,855,24.174344436569807,4.444444444444445,8.366013071895425,21.122135601228443,45.296480037798254,12.81045751633987,32.48602252145838,12.81045751633987,45.296480037798254,8.905485021989875,7.254901960784315,4.444444444444445,0.0,8.366013071895425,0.0,0.2,0.09523809523809523,14,2,4,13,4,2,0,18,4,0
1992,18,1873,0.8853474988933157,4.323478314047132,5.134594329293616,2.637166493871836,3.5225139927651514,9.45807264334075,-5.935558650575596,9.45807264334075,3.5225139927651514,8.181920226828174,14.257104601438714,13.701861436619787,0.0,7.050303141554152,10.149302676558976,0.4074074074074074,0.4444444444444444,4,8,6,9,26,15,0,9,8,29
1993,26,1906,11.646537060886574,13.2751483671332,4.304584304584305,5.952816246933893,17.59935330782047,17.579732671717505,0.019620636102963555,17.579732671717505,17.59935330782047,9.810386169206884,21.143512807755602,12.85409371498584,5.328850149771734,7.883700123902594,5.961998748469066,0.6307692307692307,0.37179487179487175,17,20,6,10,29,18,9,10,11,10
1994,17,1337,15.562223243884144,15.221667989834078,7.817416467935499,10.456259426847664,26.018482670731807,23.03908445776958,2.979398212962227,23.03908445776958,26.018482670731807,11.025779557903169,30.516386727459388,15.221667989834078,0.0,8.848738087492412,5.61966868195242,0.5261437908496732,0.3764705882352941,14,14,7,9,29,14,0,9,8,6
1995,20,1668,12.449231393417643,8.109090625248362,2.715924426450742,7.818765755307088,20.267997148724728,10.825015051699104,9.442982097025626,10.825015051699104,20.267997148724728,7.69466759187807,21.782564726750973,11.889175367116543,2.459016393442623,10.056259744727237,0.0,0.65,0.5125,16,14,4,13,28,16,3,13,14,0
1996,47,2589,10.947332630247272,5.500691659729743,4.51074249408686,9.433334140862238,20.38066677110951,10.011434153816603,10.369232617292907,10.011434153816603,20.38066677110951,4.55746891845981,20.91024824858008,9.949221989585554,2.636819149682246,5.918107370285201,3.7096699552493204,0.34184397163120567,0.23670212765957446,35,14,14,23,62,19,8,24,14,10
1997,82,5465,18.248975023970132,5.454762649015272,3.3874255712515637,6.604726740970043,24.853701764940176,8.842188220266836,16.011513544673342,8.842188220266836,24.853701764940176,4.0238183004792205,23.459306280744656,9.498595732106873,3.598369184978626,4.708563782633678,14.634047704615016,0.33403019744483164,0.1808362369337979,98,30,14,36,133,51,14,43,19,64
1998,85,6497,13.859230186642346,8.001913849105922,2.094928795926371,6.460335394803244,20.319565581445588,10.096842645032291,10.222722936413298,10.096842645032291,20.319565581445588,6.3134520506856715,25.265830938077087,10.771414419631002,2.273287430368475,3.6316650276750124,11.43872843081941,0.6712324929971989,0.16745098039215686,86,43,14,41,150,65,9,54,20,54
1999,73,5725,13.269388639363152,7.855545205042558,0.7994546052018501,14.13586636578151,27.405255005144664,8.654999810244407,18.750255194900255,8.654999810244407,27.405255005144664,3.452330382873725,19.105390185001898,14.137036510901725,3.0375810676239667,2.1628987246756073,7.978945545912364,0.7593607305936073,0.09980430528375733,82,48,4,82,106,65,26,87,14,47
